store_id,latitude,longitude,store_location,province_id_original,district_id,ward_id,is_store_virtual,open_hour,province_id,province_name,ward_id,store_id
3425,10.781538,106.66658,"BHX 42/20A Nguyễn Giản Thanh (42/20A Nguyễn Giản Thanh, P. 15, Q. 10 (Ngay góc ngã 3 hẻm 138 đối diện chợ thuốc Nguyễn Giản Thanh))",3,25,10241,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10241,3425
3376,10.9595,106.59767,"BHX 427B Tân Thạnh Đông (427A Tỉnh Lộ 15, Ấp 8, Xã Tân Thạnh Đông, H. Củ Chi (Đối diện chợ chiều Tân Thạnh Đông))",3,34,10355,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10355,3376
3427,10.725571,106.62016,"BHX 162 An Dương Vương (162 An Dương Vương, Phường 16, Quận 8, Thành phố Hồ Chí Minh, Việt Nam)",3,23,10205,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10205,3427
3432,10.840558,106.78163,"BHX 1/99A Đình Phong Phú (1/99A Đường Đình Phong Phú, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam)",3,2087,27115,False,6 giờ - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,27115,3432
3386,10.83995,106.79643,"BHX 205 Lã Xuân Oai (205 Lã Xuân Oai, Khu phố 4, Phường Tăng Nhơn Phú A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam)",3,2087,27114,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,27114,3386
3387,10.844044,106.6475,"BHX 415 Đường số 10 (415 Đường số 10, P. 8, Q. Gò Vấp (Đối diện trường Cao Đẳng Miền Nam))",3,29,10295,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10295,3387
3388,10.79301,106.67212,"BHX 123 Trần Hữu Trang (123 Trần Hữu Trang, P. 10, Q. Phú Nhuận (Cách chợ Trần Hữu Trang 10m))",3,52,10417,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10417,3388
3743,10.757932,106.71076,"BHX 115 Xóm Chiếu (115-115B Xóm Chiếu, Phường 16, Quận 4, Thành phố Hồ Chí Minh, Việt Nam)",3,19,10157,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10157,3743
1992,10.732247,106.618454,"BHX 164 Bùi Tư Toàn (164 Bùi Tư Toàn, P. An Lạc, Q. Bình Tân)",3,31,10312,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10312,1992
3600,10.855251,106.76753,"BHX 141 Hoàng Diệu 2 (141 Hoàng Diệu 2, Phường Linh Trung, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam)",3,2087,27098,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,27098,3600
3761,10.833835,106.68177,"BHX 111 Lê Đức Thọ (111 Lê Đức Thọ, P. 17, Q. Gò Vấp (Ngay đầu chợ Căn Cứ - cổng Lê Đức Thọ))",3,29,10289,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10289,3761
3610,10.844057,106.63149,"BHX 597 Nguyễn Văn Quá (597 Nguyễn Văn Quá, P. Đông Hưng Thuận, Q. 12 (Cạnh trạm y tế phường Đông Hưng Thuận))",3,27,10259,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10259,3610
3786,10.712159,106.70138,"BHX 946 Lê Văn Lương (946 Lê Văn Lương, Ấp 3, Xã Phước Kiển, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam)",3,35,10371,False,6 giờ - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10371,3786
3612,10.775055,106.63498,"BHX 28 Trịnh Đình Thảo (28 Trịnh Đình Thảo, P. Hòa Thạnh, Q. Tân Phú (Cạnh trường CĐ Công Nghệ Thông Tin  cách Chung cư Trung Đông 50m))",3,33,10335,False,5 giờ 30 phút - 21 giờ 30 phút (kể cả CN và ngày lễ),3,TP. Hồ Chí Minh,10335,3612
